source,date,number,validity,location,latitude,longitude,country,observer,picture,description,,,,,,,,,,
Water Bird Count,10/11/2014,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,19/12/2014,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,17/01/2015,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,17/02/2015,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,15/05/2015,520,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,17/07/2015,33,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,29/09/2015,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,23/01/2016,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
eBird,26/04/2016,25,,Sabaki,-3.165425,40.14104,Kenya,Ethan Kistler,,,,,,,,,,,,
BirdMap,09/07/2016,x,,Dakatcha 0300_3950,-3.04125,39.87458333,Kenya,Mr. J Mwambire,,,,,,,,,,,,
BirdMap,12/07/2016,x,,Gede 0315_4000,-3.29125,40.04125,Kenya,Mr A Baya,,,,,,,,,,,,
BirdMap,18/07/2016,x,,Watamu 0320_4000,-3.374583333,40.04125,Kenya,Dr C Jackson,,,,,,,,,,,,
BirdMap,19/07/2016,x,,Gede 0315_4000,-3.29125,40.04125,Kenya,Dr C Jackson,,,,,,,,,,,,
Water Bird Count,27/10/2016,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,20/01/2017,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
eBird,16/07/2017,61,,Sabaki,-3.165425,40.14104,Kenya,"Mwangi wa Gitau, Léonie Venroij, Rick Jacobsen",,,,,,,,,,,,
eBird,28/07/2017,1000,,Sabaki,-3.165425,40.14104,Kenya,Doris Schaule,x,,,,,,,,,,,
Water Bird Count,03/11/2017,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,30/01/2018,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,15/05/2018,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
eBird,20/07/2018,X,,Sabaki,-3.165425,40.14104,Kenya,Peter Steward,,,,,,,,,,,,
eBird,20/07/2018,X,,Sabaki,-3.165425,40.14104,Kenya,Christine Lamanna,,,,,,,,,,,,
Water Bird Count,19/01/2019,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,20/03/2019,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
eBird,09/04/2019,300,,Tana Delta,-2.500726,40.387112,Kenya,Mustafa Adamjee,,,,,,,,,,,,
Water Bird Count,18/04/2019,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
eBird,23/06/2019,5,,"Basilisks Camp, Bologonga",-1.70292,35.002151,Tanzania,Clint Schipper,,"""5 birds on Mara river. Prominent white tick to the back of the eye. Chestnut wash thru underbelly.""",,,,,,,,,,
Water Bird Count,18/07/2019,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
eBird,01/08/2019,39,,Sabaki,-3.165425,40.14104,Kenya,Tom Noah,x,,,,,,,,,,,
Ash & Miskell (1989),04/08/2019,80,,Uarmahan to near Mogadishu,2.07,45.319,Somalia,,,,,,,,,,,,,
Water Bird Count,15/08/2019,222,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
BirdMap,06/09/2019,x,,Arabuko-Sokoke Forest 0315_3950,-3.29125,39.87458333,Kenya,Dr C Jackson,,,,,,,,,,,,
Water Bird Count,29/10/2019,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,23/01/2020,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,07/02/2020,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,10/03/2020,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
